Place,Title,Name,Type,Latitude,Longitude,Code,Enclosed_by,Date
[I0741],Kiililä,Otto Aleksanteri,,,,,male,1847-07-03,[P0123],,,,,,,,,,,
[I0742],Kiililä,Petteri,,,,,male,1848-11-05,[P0123],,,,,1889-04-25,,,,,,
[I0746],Kiililä,Serafiia,,,,,female,1855-04-24,[P0123],,,,,1938-02-01,,,,,,
[I0743],Kiililä,Ulriikka,,,,,female,1850-09-28,,,,,,,,,,,,
[I0745],Kiililä,Ulriikka,,,,,female,1853-07-06,[P0123],,,,,,,,,,,
[I0748],Kiililä,Viktor,,,,,male,1858-04-28,[P0123],,,,,1931-01-21,,,,,,
[I0506],Kiiski,Jenna Carita,,,,,female,1987-08-28,[P0028],,,,,,,,,,,
[I0558],Kijlilä,Helena,,Andersdr.,,,female,,,,,,,,,,,,,
[I0557],Kijlilä,Joseph,,Matthsson,,,male,,,,,,,,,,,,,
[I0207],Kitti,Maija Liisa Juhontytär,,,,,female,,,,,,,,,,,,,
[I0322],Kittilä,Ulriika Ulrikantytär,,,,,female,,,,,,,,,,,,,
[I0355],Kiviluoma,Otto Eemil,,,,,male,1889-04-27,[P0038],,,,,1931-12-17,,,,,,
[I0606],Kivinen,Ilmari,,,,,male,,,,,,,,,,,,,
[I0605],Kivinen,Virginia H.J.,,,,,female,1924,,,,,,,,,,,,
[I0607],Kivineva,Alli,,,,,female,,,,,,,,,,,,,
[I0074],Kivistö,Marianne Elisabet,,,,,female,1984-10-15,[P0005],,,,,,,,,,,
[I0073],Kivistö,Marko Mikael,,,,,male,1968-10-28,[P0005],,,,,,,,,,,
[I0015],Kivistö,Mirja Lyydia,,,,,female,1910-07-28,[P0002],,,,,,,,,,,
[I0072],Kivistö,Reijo Johannes,,,,,male,1967-03-03,[P0005],,,,,,,,,,,
[I0071],Kivistö,Sulho Johannes,,,,,male,1945-10-24,[P0002],,,,,,,,,,,
[I0595],Kohtala,Aino,,,,,female,,,,,,,,,,,,,
[I0594],Kohtala,Esa,,,,,male,,[P0020],,,,,,,,,,,
[I0025],Koivisto,Jenny Josefiina,,,,,female,1893-06-10,[P0001],,,,,1927-12-02,,,,,,
[I0118],Koivusaari,Hilda Amanda,,,,,female,1911-10-31,[P0001],,,,,1911-12-11,,,,,,
[I0011],Koivusaari,Toivo Iisakki,,,,,male,1913-12-19,[P0001],,,,,1914-08-11,,,,,,
[I0012],Koivusaari,Urho Jaakoppi,,,,,male,1915-12-23,[P0001],,,,,,,,,,,
[I0379],Komsi,Tekla Matilda Jaakobintytär,,,,,female,,,,,,,,,,,,,
[I0184],Korpela,Anna Kaisa Jaakontytär,,,,,female,1841-05-05,,,,,,1878-12-20,,,,,,
[I0190],Korpela,Jaakko Heikinpoika,,,,,male,,,,,,,,,,,,,
[I0637],Korpi-Tassi,Mikki,,Juhonp.,,,male,1858-07-31,[P0000],,,,,1940,[P0001],,,,,
[I0616],Koskela,Atte,,,,,male,,,,,,,,,,,,,
[I0615],Koskela,Jarmo,,,,,male,,,,,,,,,,,,,
[I0319],Koskiniemi,Matti Salomoninpoika,,,,,male,,,,,,,,,,,,,
[I0320],Krooka,Klaara Jaakontytär,,,,,female,,,,,,,,,,,,,
[I0376],Krooka,Maria Justiina Simontytär,,,,,female,,,,,,,,,,,,,
[I0736],Kujaton,Joseph Juhanpoika,,,,,male,1925-01-04,,,,,,,,,,,,
[I0293],Kytölä,Elda Sofia,,,,,female,1884-04-25,,,,,,,,,,,,
[I0292],Kytölä,Ester,,,,,female,1884-04-25,,,,,,,,,,,,
[I0323],Kytölä,Esteri Matintytär,,,,,female,1878-05-10,,,,,,1952-12-17,,,,,,
[I0289],Kytölä,Helena Rosina,,,,,female,1876-04-27,,,,,,,,,,,,
[I0471],Kytölä,Josef,,Josefinp.,,,male,1848-05-25,,,,,,1901-11-20,,,,,,
[I0290],Kytölä,Josef Nikolai,,,,,male,1878-09-07,,,,,,1882-04-11,,,,,,
[I0288],Kytölä,Maija Liisa,,,,,female,1874-04-12,,,,,,,,,,,,
[I0291],Kytölä,Ulrika Katariina,,,,,female,1881-11-03,,,,,,,,,,,,
[I0067],Köykkä,Majatta,,,,,female,1940-08-15,,,,,,,,,,,,
[I0283],Laarni,Maija-Liisa,,,,,female,1937-12-13,[P0035],,,,,,,,,,,
[I0216],Lahtinen,Helena Urhontytär,,,,,female,1925-01-22,[P0001],,,,,1993-07-11,,,,,,
[I0222],Lahtinen,Markus Ilmari,,,,,male,1964-01-16,[P0019],,,,,,,,,,,
[I0256],Laitinen,Eira Anneli,,,,,female,1957-09-26,[P0024],,,,,,,,,,,
[I0490],Levanen,Anu,,,,,female,,,,,,,,,,,,,
[I0489],Levanen,Kauko,,,,,male,,,,,,,,,,,,,
[I0106],Levanen,Satu,,,,,female,,,,,,,,,,,,,
[I0703],Levä,Serafia,,,,,female,1837-04-12,[P0002],,,,,1914-03-31,[P0002],,,,,
[I0265],Lipponen,Soini Sinikka,,,,,female,1930-04-05,[P0029],,,,,,,,,,,
[I0208],Loren,Hulda Serafia,,,,,female,1887-05-08,,,,,,1959-01-31,,,,,,
[I0206],Loren,Kaarle Fabien,,,,,male,,,,,,,,,,,,,
[I0378],Luhtala,Jakob Nestor,,,,,male,,,,,,,,,,,,,
[I0377],Luhtala,Karl William,,,,,male,1896-01-27,,,,,,1953-09-04,,,,,,
[I0306],Luhtala,Maria Lovisa Josefintytär,,,,,female,,,,,,,,,,,,,
[I0193],Luhtala,Sofia Ulriika Josefintytär,,,,,female,,,,,,,,,,,,,
[I0433],Luoma,,,,,,male,,,,,,,,,,,,,
[I0147],Luoma,Maritta,,,,,female,1953-03-29,,,,,,,,,,,,
[I0037],Luoma,Niilo Iivari,,,,,male,1917-11-23,[P0001],,,,,,,,,,,
[I0145],Luoma,Raimo,,,,,male,1948-05-26,,,,,,,,,,,,
[I0146],Luoma,Rauno,,,,,male,1952-02-20,,,,,,,,,,,,
[I0144],Luoma,Reino,,,,,male,1945-09-16,,,,,,,,,,,,
[I0264],Luoma,Sisko Maria,,,,,female,1927-11-05,[P0022],,,,,,,,,,,
[I0143],Luoma,Tellervo,,,,,male,1944-06-14,,,,,,,,,,,,
[I0568],Luomala,Arja Orvokki,,,,,female,1952-12-15,[P0047],,,,,,,,,,,
[I0492],Luopakka,Esa,,,,,male,,,,,,,,,,,,,
[I0493],Luopakka,Milla,,,,,female,,,,,,,,,,,,,
[I0592],Lähdesmäki,Leena,,,,,female,,,,,,,,,,,,,
[I0266],Mantila,Seija Helinä,,,,,female,1934-08-07,[P0030],,,,,,,,,,,
[I0562],Markkanen,Kerttu Liisa,,,,,female,1914-10-27,[P0083],,,,,1992-03-11,[P0047],,,,,
[I0351],Mikkilä,Sameli Samelinpoika,,,,,male,1889-09-09,,,,,,,,,,,,
[I0350],Mikkilä,Sofia Matintytär,,,,,female,1882-08-08,,,,,,,,,,,,
[I0230],Moisio,Sirpa Kyllikki,,,,,female,1966-01-12,[P0022],,,,,,,,,,,
[I0531],Mudig eli Lahti,Hedvig,,Juhon tr.,,,female,1805-07-14,[P0012],,,,,1870-01-26,[P0010],,,,,
[I0329],Muotio,Juho Juhonpoika,,,,,male,,,,,,,,,,,,,
[I0330],Muotio,Serafia Antintytär,,,,,female,,,,,,,,,,,,,
[I0571],Myllyniemi,Martta,,,,,female,1915-07-22,[P0047],,,,,1982-09-20,[P0047],,,,,
[I0321],Myllyniemi,Matti Antinpoika,,,,,male,,,,,,,,,,,,,
[I0551],Mylläri,Ulrica Jacobsdotter,,,,,female,1822-07-23,[P0001],,,,,,,,,,,
[I0016],Mäenranta,Selmi Sofia,,,,,female,,,,,,,,,,,,,
[I0630],Mäkelä,Matias,,,,,male,1984,,,,,,,,,,,,
[I0629],Mäkelä,Simo,,,,,male,,,,,,,,,,,,,
[I0513],Mäki,Seppo Aimo Olavi,,,,,male,1949-06-23,[P0028],,,,,,,,,,,
[I0167],Mäki-Reinikka,Erkki,,,,,male,1927-03-26,[P0000],,,,,,,,,,,
[I0129],Mänty,Saara Sofia Juhontytär,,,,,female,1814-05-09,[P0013],,,,,1862-07-27,[P0000],,,,,
[I0062],Naskali,Maire Marjatta,,,,,female,1936-04-21,[P0004],,,,,,,,,,,
[I0622],Neulaniemi,Ariel,,,,,male,,,,,,,,,,,,,
[I0620],Neulaniemi,Jaakko,,,,,male,,,,,,,,,,,,,
[I0624],Neulaniemi,Maija,,,,,female,,,,,,,,,,,,,
[I0625],Neulaniemi,Maria,,,,,female,,,,,,,,,,,,,
[I0626],Neulaniemi,Markus,,,,,male,,,,,,,,,,,,,
[I0621],Neulaniemi,Miika,,,,,male,,,,,,,,,,,,,
[I0623],Neulaniemi,Tuomas,,,,,male,,,,,,,,,,,,,
[I0126],Niinistö,Iisakki Jaakonpoika,,,,,male,1797-09-07,[P0012],,,,,1862-07-20,[P0000],,,,,
[I0103],Niinistö,Kaisa Iisakintytär,,,,,female,1827-01-14,[P0000],,,,,1864-10-04,[P0000],,,,,
[I0278],Niiranen,Heikki Tapani,,,,,male,1958-09-29,[P0003],,,,,,,,,,,
[I0651],Nisula,Eeli,,,,,male,,,,,,,,,,,,,
[I0353],Nisula,Juho Henrik Jaakonpoika,,,,,male,,,,,,,,,,,,,
[I0352],Nisula,Serafia Juhontytär,,,,,female,1888-09-01,,,,,,1951-12-29,,,,,,
[I0281],Norell,Tuula Mariana,,,,,female,1981-02-17,[P0003],,,,,,,,,,,
[I0014],Nori,Uuno Matias,,,,,male,1900-01-20,[P0001],,,,,,,,,,,
[I0284],Nouko,Ulla Mirjami,,,,,female,1943-04-07,[P0036],,,,,,,,,,,
[I0195],Ojala,Heikki Jaakonpoika,,,,,male,,,,,,,,,,,,,
[I0196],Ojala,Liisa Juhontytär,,,,,female,,,,,,,,,,,,,
[I0047],Ojala,Sami,,,,,male,1973-04-11,[P0075],,,,,,,,,,,
[I0396],Ojala  e. Mäntymäki,Hedvig,,Henrikintytär,,,female,1846-10-05,[P0001],,,,,1910-01-31,[P0001],,,,,
[I0294],Ojanperä,Josef Mikinpoika,,,,,male,,,,,,,,,,,,,
[I0267],Ollikkala,Sirkka Liisa,,,,,female,1939-07-27,[P0030],,,,,,,,,,,
[I0674],Orrela,Bruuno,,,,,male,,,,,,,,,,,,,
[I0644],Paloluoma,Jaakko Herman,,Juhonp.,,,male,1818-07-15,[P0111],,,,,1870-01-02,[P0000],,,,,
[I0530],Paloluoma,KaisaLiisa,,Jaakko-Herm.tr,,,female,1846-12-30,[P0000],,,,,1928-05-28,,,,,,
[I0027],Panttila,Augusta Emanuelintytär,,,,,female,1873-12-30,[P0001],,,,,1943-01-31,,,,,,
[I0356],Parkki,Hilma Eliisa Juha Wihtorintytär,,,,,female,1895-09-08,,,,,,1929-04-28,,,,,,
[I0295],Peltokoski,Leena Simontytär,,,,,female,,,,,,,,,,,,,
[I0229],Penttilä,Kalle Erkki,,,,,male,1955-12-07,[P0021],,,,,,,,,,,
[I0227],Penttilä,Teija Maria,,,,,female,1956-02-26,[P0001],,,,,,,,,,,
[I0095],Perhelä,Anna,,,,,female,1754-01-29,[P0007],,,,,,,,,,,
[I0094],Perhelä,Beata,,,,,female,1751-07-20,[P0007],,,,,,,,,,,
[I0098],Perhelä,Elisabet,,,,,female,1762-02-25,[P0007],,,,,,,,,,,
[I0100],Perhelä,Erkki,,,,,male,1769-04-22,[P0007],,,,,,,,,,,
[I0096],Perhelä,Heikki,,,,,male,1756-10-02,[P0007],,,,,,,,,,,
[I0097],Perhelä,Johan,,,,,male,1759-08-25,[P0007],,,,,1836-11-04,[P0000],,,,,
[I0093],Perhelä,Maria,,,,,female,1749-02-02,[P0007],,,,,,,,,,,
[I0091],Perhelä,Martti Matinpoika,,,,,male,1726-11-04,[P0007],,,,,1793-09-02,,,,,,
[I0099],Perhelä,Mikko,,,,,male,1764-03-23,[P0007],,,,,,,,,,,
[I0730],Perttula,Marketta Pekantytär,,,,,female,1731-02-01,[P0001],,,,,1812-09-01,[P0123],,,,,
[I0577],Perä,Torsten,,,,,male,,,,,,,,,,,,,
[I0640],Perälä,Esteri,,Antintr.,,,female,1882-01-13,,,,,,,,,,,,
[I0373],Perälä,Johanna Sofia Mikontytär,,,,,female,,,,,,,,,,,,,
[I0372],Perälä,Juho Juusenpoika,,,,,male,,,,,,,,,,,,,
[I0371],Perälä,Juho Sylvester Juhonpoika,,,,,male,1887-08-24,[P0001],,,,,1938-01-20,[P0039],,,,,
[I0171],Perälä,Liisa Matintytär,,,,,female,1816-02-08,[P0047],,,,,1900-05-21,[P0047],,,,,
[I0454],Perälä,Matti,,Juhonpoika,,,male,,,,,,,,,,,,,
[I0375],Perälä,Nestori Matinpoika,,,,,male,,,,,,,,,,,,,
[I0716],Perälä,Priitta Matintytär,,,,,female,1712,,,,,,,,,1751-10-27,[P0123],,
[I0715],Perälä,Rikhard Abeli,,Hermanninp.,,,male,1879,,,,,,1947,,,,,,
[I0327],Perälä,Ulriika Juhontytär,,,,,female,,,,,,,,,,,,,
[I0579],Petäjävirta,Reijo,,,,,male,,[P0047],,,,,,,,,,,
[I0111],Pitkämö,Hedvig Helena Hermannintytär,,,,,female,1849-03-12,[P0000],,,,,,,,,,,
[I0128],Pitkämö,Herman Juhonpoika,,,,,male,1807-06-25,,,,,,1865-02-06,,,,,,
[I0121],Ponsijärvi,Hedvig Sofia Hermannintytär,,,,,female,,,,,,,,,,,,,
[I0555],Poro,Antti,,,,,male,,,,,,,,,,,,,
[I0660],Ramsila,Janne,,,,,male,,,,,,,,,,,,,
[I0613],Rantala,Maisa,,,,,female,1949,,,,,,,,,,,,
[I0119],Rantanen,Seija,,,,,female,1960-11-23,[P0093],,,,,,,,,,,
[I0123],Riihimäki,Hedvig Sofia Liisantytär,,,,,female,1855-06-14,[P0000],,,,,,,,,,,
[I0130],Riihimäki,Liisa,,,,,female,,,,,,,,,,,,,
[I0636],Rummakko,Ida Maria,,,,,female,1892-01-04,[P0002],,,,,1954-02-14,[P0002],,,,,
[I0349],Runsala,Sofia Wilhelmiina Juhontytär,,,,,female,,,,,,,,,,,,,
[I0495],Runsala > Vainionpää,Jaakko Antton,,,,,male,1860-02-13,,,,,,1932-03-30,,,,,,
[I0166],Saari,Eero Iivari,,,,,male,1924-02-17,[P0000],,,,,,,,,,,
[I0435],Saarikoski,Aija,,Liisa,,,female,1957-02-17,,,,,,,,,,,,
[I0004],Saarikoski,"Aleksandra , Elina",,,,,female,1871-11-05,[P0041],,,,,,,,,,,
[I0204],Saarikoski,Alfred,,,,,male,1883-12-23,,,,,,1956-10-25,,,,,,
[I0201],Saarikoski,Alina Maria,,,,,female,1876-09-26,,,,,,1899-02-25,[P0001],,,,,
[I0509],Saarikoski,Anna Linnea,,,,,female,1992-04-23,[P0061],,,,,,,,,,,
[I0442],Saarikoski,Anne Marita,,,,,female,1961-06-10,[P0001],,,,,,,,,,,
[I0428],Saarikoski,Ari,,"Jaakko, Elmer",,,male,1950-03-05,[P0001],,,,,,,,,,,
[I0232],Saarikoski,Eeli Leander,,,,,male,1924-07-02,[P0001],,,,,,,,,,,
[I0750],Saarikoski,Elina Aleksandra,,,,,female,1871-11-05,,,,,,,,,,,,
[I0510],Saarikoski,Elle Sofia,,,,,female,1995-06-19,[P0023],,,,,,,,,,,
[I0523],Saarikoski,Elly,,,,,female,,,,,,,,,,,,,
[I0205],Saarikoski,Elsa Hedvig,,,,,female,1886-06-04,,,,,,,,,,,,
[I0243],Saarikoski,Erja,,,,,female,,,,,,,,,,,,,
[I0274],Saarikoski,Esko Alfred,,,,,male,1909-04-18,[P0001],,,,,1984-01-14,,,,,,
[I0241],Saarikoski,Esko Juhani,,,,,male,1941-09-10,[P0001],,,,,1972-09-24,,,,,,
[I0203],Saarikoski,Ester Elisabeth,,,,,female,1880-11-25,,,,,,,,,,,,
[I0432],Saarikoski,Jaana Maija Hannele,,,,,female,1987-02-09,[P0001],,,,,,,,,,,
[I0245],Saarikoski,Jarkko,,,,,male,,,,,,,,,,,,,
[I0752],Saarikoski,Johanna Justiina,,,,,female,1995-01-10,,,,,,,,,,,,
[I0255],Saarikoski,Jori,,,,,male,,,,,,,,,,,,,
[I0527],Saarikoski,Juha,,,,,male,,,,,,,,,,,,,
[I0199],Saarikoski,Juho Oskari,Oskari,,,,male,1873-02-11,[P0001],,,,,1922-06-27,[P0001],,,,,
[I0254],Saarikoski,Kari,,,,,male,,,,,,,,,,,,,
[I0518],Saarikoski,Laimi,,,,,female,,,,,,,,,,,,,
[I0273],Saarikoski,Lauda Lilia,,,,,female,1908-01-25,[P0047],,,,,1911-06-05,[P0047],,,,,
[I0239],Saarikoski,Lea Kyllikki,,,,,female,1935-09-05,,,,,,1936-06-16,[P0001],,,,,
[I0210],Saarikoski,Lenni William,,,,,male,1895-10-15,,,,,,1896-01-20,[P0001],,,,,
[I0237],Saarikoski,Liisa Kyllikki,,,,,female,1932-08-07,,,,,,1932-08-12,[P0001],,,,,
[I0751],Saarikoski,Marjo Susanna,,,,,female,1990-01-11,,,,,,,,,,,,
[I0521],Saarikoski,Marketta,,,,,female,,,,,,,,,,,,,
[I0260],Saarikoski,Markku Juhani,,,,,male,1960-08-01,[P0027],,,,,,,,,,,
[I0200],Saarikoski,Markus Nikolai,,,,,male,1874-10-07,,,,,,,,,,,,
[I0236],Saarikoski,Matti,,,,,male,1930-09-20,[P0001],,,,,1994-01-15,[P0023],,,,,
[I0710],Saarikoski,Minna Tuulikki,,,,,female,1984-02-11,,,,,,,,,,,,
[I0503],Saarikoski,Niina Maria,,,,,female,1984-10-14,[P0028],,,,,,,,,,,
[I0220],Saarikoski,Ossi Pellervo,,,,,male,1932-02-06,[P0001],,,,,1991-09-27,[P0047],,,,,
[I0235],Saarikoski,Pentti Ilmari,,,,,male,1928-09-19,[P0001],,,,,,,,,,,
[I0519],Saarikoski,Pertti,,,,,male,,,,,,,,,,,,,
[I0253],Saarikoski,Raimo,,,,,male,,,,,,,,,,,,,
[I0416],Saarikoski,Reino Matias,,,,,male,1925-09-04,[P0047],,,,,1925-12-25,,,,,,
[I0524],Saarikoski,Ritva,,,,,female,,,,,,,,,,,,,
[I0238],Saarikoski,Salme Sinikka,,,,,female,1934-05-22,,,,,,1936-04-16,[P0001],,,,,
[I0221],Saarikoski,Sauli Ossi,,,,,male,1935-04-17,[P0001],,,,,1943-09-07,,,,,,
[I0263],Saarikoski,Senia Luoma,,,,,female,1903-11-04,[P0001],,,,,1983-03-05,,,,,,
[I0262],Saarikoski,Sirpa Kyllikki,,,,,female,1965-08-13,[P0028],,,,,,,,,,,
[I0430],Saarikoski,Tiina Maaret,,,,,female,1977-06-09,[P0001],,,,,,,,,,,
[I0511],Saarikoski,Timi Teppo,,,,,male,1997-01-29,[P0023],,,,,,,,,,,
[I0507],Saarikoski,Timo Kalevi,,,,,male,1963-05-20,[P0028],,,,,,,,,,,
[I0431],Saarikoski,Timo-Jaakko,,,,,male,1980-04-12,[P0001],,,,,,,,,,,
[I0213],Saarikoski,Toini Elina,,,,,female,1901-06-18,[P0001],,,,,1983-03-05,,,,,,
[I0502],Saarikoski,Toni Mikael,,,,,male,1980-11-23,[P0028],,,,,,,,,,,
[I0434],Saarikoski,Tuula,,Arja Tuula Maarit,,,female,1953-06-14,[P0001],,,,,,,,,,,
[I0526],Saarikoski,Tuula,,,,,female,,,,,,,,,,,,,
[I0250],Saarikoski,Ulla,,,,,female,,,,,,,,,,,,,
[I0211],Saarikoski,Urho Johannes Oskarinpoika,,,,,male,1896-09-17,[P0047],,,,,1985-01-02,[P0001],,,,,
[I0228],Saarikoski,Veijo Ilmari,,,,,male,1959-11-23,[P0001],,,,,,,,,,,
[I0202],Saarikoski,Viktor Konstantin,,,,,male,1879-02-01,[P0001],,,,,,,,,,,
[I0724],Saarikoski,Vilho,,,,,male,,,,,,,,,,,,,
[I0276],Saarikoski,Voitto Nikolai,,,,,male,1914-08-01,[P0001],,,,,,,,,,,
[I0234],Saarikoski,Yrjö Helmeri,,,,,male,1927-02-01,[P0001],,,,,,,,,,,
[I0212],Saarikoski,Yrjö Leander,,,,,male,1898-07-29,,,,,,1942-04-08,[P0001],,,,,
[I0367],Salmela,Bruno Johannes,,,,,male,1897-12-02,,,,,,,,,,,,
[I0690],Salmela,Elsa Eulalia,,Viktorin tr.,,,female,1884-09-08,[P0001],,,,,1977-12-14,[P0001],,,,,
[I0366],Salmela,Ferdinand Vihtori,,,,,male,1894-03-27,,,,,,,,,,,,
[I0365],Salmela,Hilma Selina,,,,,female,1892-03-20,,,,,,1972-08-23,,,,,,
[I0669],Salmela,Lempi Maria,,Viktorin tr.,,,female,1880-11-30,[P0001],,,,,1960-03-14,[P0001],,,,,
[I0694],Salmela,Otto Jalmari,,Viktorin p.,,,male,1887-01-22,[P0001],,,,,,,,,,,
[I0698],Salmela,Selma Regina,,Viktorin tr.,,,female,1889-04-14,,,,,,,,,,,,
[I0657],Salmenoksa,Aino,,,,,female,1925-06-14,[P0001],,,,,,,,,,,
[I0659],Salmenoksa,Airi,,,,,female,1929-11-02,[P0001],,,,,,,,,,,
[I0718],Salmenoksa,Johanna,,Mikontr.,,,female,1854-07-27,[P0075],,,,,1915-08-16,[P0001],,,,,
[I0654],Salmenoksa,Jooseppi,,,,,male,1886-03-19,[P0001],,,,,1935-11-07,[P0001],,,,,
[I0658],Salmenoksa,Pirkko,,,,,female,1926-11-12,[P0001],,,,,1930-08-14,[P0001],,,,,
[I0656],Salmenoksa,Reino,,,,,male,1923-03-26,[P0001],,,,,1924-03-08,[P0001],,,,,
[I0257],Salminen,Harri Tapani,,,,,male,1960-08-21,[P0025],,,,,,,,,,,
[I0259],Salminen,Jyrki Sakari,,,,,male,1968-06-27,[P0023],,,,,,,,,,,
[I0516],Salminen,Marko Petri,,,,,male,1966-01-30,[P0028],,,,,,,,,,,
[I0425],Salminen,Raimo,,,,,male,,,,,,,,,,,,,
[I0240],Salminen,Salme Sinikka,,,,,female,1937-05-01,[P0001],,,,,,,,,,,
[I0539],Salo,Anna Kaisa,,,,,female,1884-12-24,,,,,,1974-10-13,,,,,,
[I0326],Salo,Heikki Juusenpoika,,,,,male,,,,,,,,,,,,,
[I0192],Salo,Juho Vilhelmi Juhonpoika,,,,,male,,,,,,,,,,,,,
[I0672],Seppä,Aarne Weikko,,,,,male,1908-01-04,[P0001],,,,,,,,,,,
[I0680],Seppä,Anna Inkeri,,,,,female,1921-10-04,[P0001],,,,,,,,,,,
[I0671],Seppä,Eero Verner,,,,,male,1906-11-12,[P0001],,,,,,,,,,,
[I0678],Seppä,Eila Raakkel,,,,,female,1917-01-22,[P0001],,,,,,,,,,,
[I0668],Seppä,Johannes,,Matinp.,,,male,1883-09-06,[P0001],,,,,,,,,,,
[I0675],Seppä,Katri Suleima,,,,,female,1911-09-02,[P0001],,,,,1987-06-13,[P0001],,,,,
[I0673],Seppä,Laura Sisko,,,,,female,1909-06-25,[P0001],,,,,,,,,,,
[I0437],Seppä,Maija Liisa,,Matint.,,,female,1873-07-02,[P0001],,,,,1921-04-22,[P0001],,1921-04-28,[P0001],Kirkkoherran virasto,
[I0670],Seppä,Martti Johannes,,,,,male,1905-06-25,[P0001],,,,,1940-02-21,,,,[P0035],,
[I0663],Seppä,Matti,,Juusenp.,,,male,1838-11-07,[P0001],,,,,1905-03-09,[P0001],,,,,
[I0370],Seppä,Matti Abraham Matinpoika,,,,,male,1880-02-23,,,,,,1922-07-03,,,,,,
[I0679],Seppä,Niilo Maurits,,,,,male,1920-06-27,[P0001],,,,,,,,,,,
[I0677],Seppä,Olli Anseeli,,,,,male,1914-04-22,[P0001],,,,,,,,,,,
[I0666],Seppä,Ulrika,,Matin tr.,,,female,1874-09-03,[P0001],,,,,,,,,,,
[I0684],Seppä,Ulrika,,Matss.dr,,,female,1807,,,,,,,,,,,,
[I0676],Seppä,Walma Rauha,,,,,female,1913-01-18,[P0001],,,,,2003-01-19,[P0001],,,,,
[I0683],Seppä ( Koskela ),Joseph Thomas,,,,,male,,,,,,,,,,,,,
[I0307],Sillanpää,Hermanni Juhonpoika,,,,,male,,,,,,,,,,,,,
[I0077],Sjöblom,Aili Mariaana,,,,,female,1897-04-29,[P0001],,,,,,,,,,,
[I0139],Sjöblom,Amanda,,,,,female,1850-05-08,[P0018],,,,,,,,,,,
[I0133],Sjöblom,Bernhard Michelsson,,,,,male,1820-11-15,[P0014],,,,,,,,,,,
[I0017],Sjöblom,Bernhard Otto,,,,,male,1857-08-27,[P0001],,,,,1936-09-25,,,,,,
[I0076],Sjöblom,Enni Adeliina,,,,,female,1896-04-10,[P0001],,,,,,,,,,,
[I0084],Sjöblom,Fanne Leonard,,,,,male,1908-04-17,[P0001],,,,,1909-01-29,,,,,,
[I0075],Sjöblom,Georg,,,,,male,1891-11-16,[P0001],,,,,1968-05-30,[P0006],,,,,
[I0138],Sjöblom,Gustafva,,,,,male,1848-05-21,[P0018],,,,,,,,,,,
[I0136],Sjöblom,Hedvig Sofia,,,,,female,1844-12-11,[P0018],,,,,,,,,,,
[I0152],Sjöblom,Johan Ivar,,,,,male,1862-12-24,,,,,,,,,,,,
[I0151],Sjöblom,Johanna,,,,,female,1860-03-30,,,,,,,,,,,,
[I0137],Sjöblom,Joseph Axel,,,,,male,1846-09-15,[P0018],,,,,,,,,,,
[I0140],Sjöblom,Lovisa,,,,,female,1852-04-06,[P0018],,,,,,,,,,,
[I0135],Sjöblom,Maja Lisa,,,,,female,1843-09-12,[P0018],,,,,,,,,,,
[I0082],Sjöblom,Maria Ireene,,,,,female,1906-02-21,[P0001],,,,,,,,,,,
[I0087],Sjöblom,Maritta Hellen,,,,,female,1913-10-25,,,,,,,,,,,,
[I0078],Sjöblom,Matias,,,,,male,1898-11-30,[P0001],,,,,1909-07-04,,,,,,
[I0141],Sjöblom,Michael Nestor,,,,,male,1854-09-10,[P0018],,,,,,,,,,,
[I0090],Sjöblom,Niilo Nikolai,,,,,male,1918-03-31,[P0001],,,,,1984-12-06,,,,,,
[I0081],Sjöblom,Otto Bernard,,,,,male,1904-05-25,[P0001],,,,,1961-12-01,,,,,,
[I0079],Sjöblom,Samuel Eevertti,,,,,male,1900-11-27,[P0001],,,,,,,,,,,
[I0083],Sjöblom,Seiti Johanna,,,,,female,1907-02-17,[P0001],,,,,1907-09-13,,,,,,
[I0142],Sjöblom,Serafia,,,,,female,1856-03-20,[P0018],,,,,1856-04-06,[P0018],,,,,
[I0089],Sjöblom,Siivo Reino,,,,,male,1916-10-04,[P0001],,,,,1917-02-25,,,,,,
[I0086],Sjöblom,Sylvia Ilona,,,,,female,1911-09-07,[P0001],,,,,,,,,,,
[I0085],Sjöblom,Tyyne Augusta,,,,,female,1909-06-21,[P0001],,,,,1988-03-03,,,,,,
[I0088],Sjöblom,Urho Asser,,,,,male,1915-02-08,[P0001],,,,,1920-10-08,,,,,,
[I0080],Sjöblom,Uuno Jaakkoppi,,,,,male,1902-06-26,[P0001],,,,,,,,,,,
[I0348],Suksi,Jaakko Vilhelm Fredrikinpoika,,,,,male,,,,,,,,,,,,,
[I0328],Suksi,Sylvester,,,,,male,1884-11-29,,,,,,1924-12-31,[P0006],,,,,
[I0720],Sundqvist,Jakob Viktor,,,,,male,1880-05-28,[P0001],,,,,1884-03-21,[P0001],,,,,
[I0722],Sundqvist,Johannes,,,,,male,1882-02-15,[P0001],,,,,1884-04-23,[P0001],,,,,
[I0717],Sundqvist,Kaarle,,Jaakonp.,,,male,1852-09-26,[P0075],,,,,1940-06-25,[P0001],,,,,
[I0721],Sundqvist,Maja Lisa,,,,,female,1880-05-28,[P0001],,,,,1880,[P0001],,,,,
[I0723],Sundqvist,Serafina,,,,,female,1884-11-04,[P0001],,,,,1885-08-06,[P0001],,,,,
